Emotion,Text
worry,where's my new @NylonMag
joy,Yeah! I found a pack of Orville Redenbacher's popcorn and some Jelly Belly beans in my candy box (I thought it was all empty). ^_^
fear,"Journalists were asked by the manager to attend a midday conference at Celtic Park in the expectation that Brady would be commenting on his dismay over anonymous , directorial criticism of the team 's progress . "
fear,Coming of the  The fire of God not only destroys the  of man but it also implants the of #God #HolySpirit
surprise,I slid gracefully. But my toe isn't going back into place so easily. #ouch!
anger,"Don't get the impression that you arouse my anger. You see, one can only be angry with those he respects. ~Richard M. Nixon "
joy,Yes. Yes! That meal touched the correct spot. 
sadness,@chazcalibur holly moley I can't remember the last time!! 
anger,"I don't need to manage my , I need everyone else to manage not to #pissmeoff  ..... #sosimple ;)"
joy,I can't wait to just sleep in tomorrow! I must study tonight and tomorrow and the next night oh and 3 essays due!
fear,When I drove to Stockholm for the first time and drove off the Stora Hissingen road at the wrong exit.
neutral, Why ? 
sadness,I seriously can't open this bottle of mountain dew :( 
surprise,Wel een weekje later maar toch een gezellig sinterklaasavondje met de familie 
joy,` His gratification was almost unbounded when on arriving at the Belts of the Murray he found not only numerous new Species but new forms of Birds . 
joy,Sick sick sick. But have to go work my last 4 hours at nine west. 
joy,is the holy fire that keeps our purpose warm and our intelligence aglow. — #HelenKeller
joy,"Shouldve gotten that surgery in the summer, keep having apendix pains, doctor steve here I come! "
love,have i ever mentioned i love ellen? a lot
fear,Be brave. Remember that  is not the lack of but the ability to move forward in spite of fear. R Costa
fear,@zoeclarksonn  eso e smuy facil S: lo de filosofia es LARGO D: muy largo S:
love,@Xx_Mcfly_xX ooh yay! let me just go accept her
worry,My puppy Gizmo h8s me..  haha. He still growls @ me.  I always look back @ my long pruple scar on my fingie
love,i love him..i hate him..i loved him yesterday...ill hate him tomorrow....damn im confused
joy,"I was captain of the school swimming team. The team was only two points in front before the last relay. We won the relay, which I swam in, and thus my team won the championship."
worry,@robertrich the no tweeting guilt trip didn't stop you huh?  I felt so bad!
worry,oops i did it again...really shouldnt have.
fear,is that which acts as a barrier between the slave &amp;things forbidden by Allah.If fear is excessive it may turn into despair &amp; pessimism
worry,@professorgreen &amp
anger, It doesn't look good at all . 
worry,I have when my plans are messed up. Now i'm stuck at home
surprise,Seeing someone in a picture and think they`re 6 feet tall... Catch a glimpse of them in real life and they`re barely 5 
fear,On le croyait mort... Il revient pour se venger! &quot; 3 et la bataille du streaming&quot; bientôt sur vos écrans.  
anger,"This angry rap artists, really doesn't sound very happy! issues"
anger,Goood Game To My Bighead Brother @Teel2Chainz ; &amp; I Saw Youu Turn Around &amp; Throw Ya Guard Up At That Boy lmao MANAGEMENT
neutral," Don't be so irritable . I just don't understand the program , that's all . "
love,"@RavenousReader BTW, thanks for the gifts.  I'm wearing my shirt, having a dunker and Apple loved that chicken soup; just what she needed!"
sadness,Chewing gum lost sweetness in 5 mins :( 
joy,I get an unexplainable from giving &amp; helping someone realize their greatness! Try it &amp; get back to me with your results!
fear,Staying alone in the dark.
worry,"Ahhhhhh i feel ill , i dont think i should drink :L lmaoo"
joy, How about tomorrow afternoon ? 
sadness,It hasn't eeven been a whole day since the end of Marching Season....and I already miss it.....
joy,"No school today, off reading "
joy,"Ah, don't you just love being right about something you wish you were wrong about .. "
worry,@riskybizness23 You never write back babe.... my feelings are hurt
surprise,apparently im getting my wisdom teeth out Friday? 
joy,"Julia 's questions about the line the defence lawyers were taking were as acute as anything she had ever asked David , and they filled him with relieved delight . "
surprise,@greysonchance OMG IM GOING TO LA SEE YOU READ &quot;HOW THE GRINCH STOLE CHRISTMAS&quot; 
joy,Have to teach a bunch of Year 7's how to play cricket tomorrow. 
neutral, Of course there is . The top-level coaches there are from the State Sports General Administration . 
sadness,an oversized load truck almost ran me off the interstate this morning. I wish it had. 
